"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
1;52,2495430318415;0,983047611474192;0,930437459667763;0,914664322352509;7868,17044790538;0,484347;1,80249812071282e-12;2,580662;1;1;17;4;"SMJYB01_20220408_192202.wav";2022-04-08 19:32:02
1;52,2913626979473;0,983015243842655;0,930618163752286;0,914811841165357;7867,46889294923;0,458724;1,80241037143181e-12;2,628564;1;1;17;5;"SMJYB01_20220408_192202.wav";2022-04-08 19:27:02
1;52,1708860331843;0,983028163324386;0,930302635815041;0,914513691421096;7866,76637955996;0,455569;1,80124098662728e-12;2,634184;1;1;18;1;"SMJYB01_20220408_195202.wav";2022-04-08 20:17:02
1;52,2718014708356;0,983028392456265;0,930709637046415;0,914913998349291;7873,5964288252;0,459062;1,80265972623097e-12;2,628011;1;1;18;2;"SMJYB01_20220408_195202.wav";2022-04-08 20:12:02
1;52,2833874920354;0,983010761439109;0,930738841854769;0,914926297632611;7872,39030509368;0,474097;1,80138449395301e-12;2,599437;1;1;18;3;"SMJYB01_20220408_195202.wav";2022-04-08 20:07:02
1;52,3939644500294;0,9830432069019;0,931239888661125;0,915449046544401;7874,85912913246;0,460816;1,80424397453654e-12;2,624334;1;1;18;4;"SMJYB01_20220408_195202.wav";2022-04-08 20:02:02
1;52,3332226367326;0,98301384823251;0,931006180421066;0,915191968143963;7870,81769611745;0,462493;1,80147481822409e-12;2,621329;1;1;18;5;"SMJYB01_20220408_195202.wav";2022-04-08 19:57:02
1;52,327120577194;0,983006957484483;0,931141900160525;0,915318966263118;7879,39774615907;0,456594;1,80118663671032e-12;2,633787;1;1;19;1;"SMJYB01_20220408_202202.wav";2022-04-08 20:47:02
1;52,2524125830085;0,983031936078077;0,930617198199978;0,914826426094079;7870,24133981047;0,45647;1,80185831555581e-12;2,632869;1;1;19;2;"SMJYB01_20220408_202202.wav";2022-04-08 20:42:02
1;52,2688950978862;0,983018163811277;0,930727333879958;0,914921874759641;7869,80826858846;0,462167;1,8015574885357e-12;2,621907;1;1;19;3;"SMJYB01_20220408_202202.wav";2022-04-08 20:37:02
1;52,288384273584;0,983040215133422;0,930902392013891;0,915114487713553;7868,85506924468;0,467689;1,80283747198403e-12;2,611651;1;1;19;4;"SMJYB01_20220408_202202.wav";2022-04-08 20:32:02
1;52,2473839960453;0,983017667987628;0,930913443121401;0,915104361955534;7869,82766989005;0,453573;1,8021323142652e-12;2,638241;1;1;19;5;"SMJYB01_20220408_202202.wav";2022-04-08 20:27:02
1;52,3456176376887;0,98303963044745;0,931151941930856;0,915359260886134;7873,2020394579;0,465057;1,80278719918586e-12;2,616459;1;1;20;1;"SMJYB01_20220408_205202.wav";2022-04-08 21:17:02
1;52,2639083349842;0,983042488087405;0,930879600640257;0,915094198723207;7861,36139704729;0,474936;1,80261411120057e-12;2,598125;1;1;20;2;"SMJYB01_20220408_205202.wav";2022-04-08 21:12:02
1;52,3139901128136;0,983045630498828;0,930984289935714;0,915200038284357;7866,88262160159;0,461568;1,80383855315805e-12;2,62302;1;1;20;3;"SMJYB01_20220408_205202.wav";2022-04-08 21:07:02
1;52,3090540948589;0,983027289039172;0,930810261051993;0,915011887531785;7865,46098128588;0,467438;1,80136873604034e-12;2,611857;1;1;20;4;"SMJYB01_20220408_205202.wav";2022-04-08 21:02:02
1;52,4705970001557;0,983021929035763;0,931393290699388;0,915580029314279;7873,12088858409;0,477392;1,80248346819735e-12;2,594531;1;1;20;5;"SMJYB01_20220408_205202.wav";2022-04-08 20:57:02
1;52,3917211151463;0,983031066795346;0,931139820781403;0,91533937135837;7875,12567795953;0,451365;1,80234997047152e-12;2,642538;1;1;21;1;"SMJYB01_20220408_212202.wav";2022-04-08 21:47:02
1;52,414380384765;0,983032178644491;0,931110127563544;0,915311217256741;7868,8294351272;0,454673;1,80227389253879e-12;2,636145;1;1;21;2;"SMJYB01_20220408_212202.wav";2022-04-08 21:42:02
1;52,3962920918053;0,983040697567928;0,931065103461724;0,915274888788168;7863,15271890629;0,468537;1,80456933282164e-12;2,610231;1;1;21;3;"SMJYB01_20220408_212202.wav";2022-04-08 21:37:02
1;52,2967204389923;0,983032043527873;0,930864195456356;0,915069332306391;7868,18240595935;0,481764;1,80389018590202e-12;2,585898;1;1;21;4;"SMJYB01_20220408_212202.wav";2022-04-08 21:32:02
1;52,2786903489493;0,983012421559944;0,930731554535127;0,914920679245826;7875,12492684652;0,495369;1,80266917120524e-12;2,56005;1;1;21;5;"SMJYB01_20220408_212202.wav";2022-04-08 21:27:02
1;52,2480897826005;0,983025654767512;0,93077113620546;0,914971905607073;7869,13514951541;0,483525;1,80251242722914e-12;2,582233;1;1;22;1;"SMJYB01_20220408_215202.wav";2022-04-08 22:17:02
1;52,3509891734062;0,983020442076335;0,931021614912601;0,915213279474009;7866,71645599002;0,464667;1,80225699828549e-12;2,617172;1;1;22;2;"SMJYB01_20220408_215202.wav";2022-04-08 22:12:02
1;52,3896693966768;0,983040051819735;0,931302319297055;0,915507480221616;7870,81255112303;0,468503;1,80313801793473e-12;2,610098;1;1;22;3;"SMJYB01_20220408_215202.wav";2022-04-08 22:07:02
1;52,2694833373466;0,983035480749742;0,931137499084652;0,915341199056793;7871,25719633176;0,459635;1,80255828037316e-12;2,626637;1;1;22;4;"SMJYB01_20220408_215202.wav";2022-04-08 22:02:02
1;52,866429642878;0,982993191029566;0,93282452374227;0,916960155264049;7872,79865904972;0,465995;1,80257593031569e-12;2,615245;1;1;22;5;"SMJYB01_20220408_215202.wav";2022-04-08 21:57:02
1;54,0057414025143;0,982621088621635;0,937512920004066;0,921219966051243;8032,46143706266;0,480968;1,79209340746367e-12;2,590616;1;1;23;1;"SMJYB01_20220408_222202.wav";2022-04-08 22:47:02
1;52,9108518606162;0,982924740642892;0,933314461134906;0,917377874649288;7929,15809773029;0,467951;1,80103260338087e-12;2,612556;1;1;23;2;"SMJYB01_20220408_222202.wav";2022-04-08 22:42:02
1;52,7499602181112;0,982972385947053;0,93246194446033;0,916584342351;7890,71098675218;0,471294;1,8009672649687e-12;2,605175;1;1;23;3;"SMJYB01_20220408_222202.wav";2022-04-08 22:37:02
1;52,6804187362979;0,982986094862057;0,932177665142019;0,916317682775583;7891,44947146327;0,452791;1,80324420147585e-12;2,640515;1;1;23;4;"SMJYB01_20220408_222202.wav";2022-04-08 22:32:02
1;52,6498147167456;0,982995666598766;0,932183402972264;0,916332245597026;7886,7056345812;0,460174;1,80103842107107e-12;2,627548;1;1;23;5;"SMJYB01_20220408_222202.wav";2022-04-08 22:27:02
1;52,6715117879442;0,982980747727349;0,932098590096978;0,916234969049134;7878,47472966772;0,456945;1,80078391578477e-12;2,631908;1;1;24;1;"SMJYB01_20220408_225202.wav";2022-04-08 23:17:02
1;52,7887006635422;0,983005841628513;0,932236426409923;0,916393852939844;7872,42416127229;0,468967;1,8035877240959e-12;2,609298;1;1;24;2;"SMJYB01_20220408_225202.wav";2022-04-08 23:12:02
1;52,5517124379836;0,983012135712792;0,931625909640936;0,915799575121509;7877,5503377035;0,474186;1,80211171350021e-12;2,599647;1;1;24;3;"SMJYB01_20220408_225202.wav";2022-04-08 23:07:02
1;52,5417884351448;0,983012726014618;0,931436191858192;0,915613630067196;7877,62339245392;0,465486;1,80138668961826e-12;2,615676;1;1;24;4;"SMJYB01_20220408_225202.wav";2022-04-08 23:02:02
1;52,5696346593645;0,982994756039724;0,931410676302095;0,915571810524372;7867,12268481554;0,496384;1,80259486492198e-12;2,558268;1;1;24;5;"SMJYB01_20220408_225202.wav";2022-04-08 22:57:02
1;52,5746192396879;0,982998966522234;0,931624976598473;0,915786389182599;7872,93898344795;0,480161;1,80248729823693e-12;2,588651;1;1;25;1;"SMJYB01_20220408_232202.wav";2022-04-08 23:47:02
1;52,579361260583;0,983021942776979;0,931698847187292;0,915880410845123;7869,96158669015;0,482133;1,80229395862644e-12;2,584735;1;1;25;2;"SMJYB01_20220408_232202.wav";2022-04-08 23:42:02
1;52,5384922043949;0,983029715775818;0,931763865376303;0,915951567751045;7875,9553305121;0,470577;1,80301482610296e-12;2,606459;1;1;25;3;"SMJYB01_20220408_232202.wav";2022-04-08 23:37:02
1;52,6025960896331;0,983020328318293;0,931809047244997;0,915987235552732;7868,06516719493;0,473458;1,80261186185423e-12;2,60077;1;1;25;4;"SMJYB01_20220408_232202.wav";2022-04-08 23:32:02
1;43,7451383690079;0,983017987448565;0,916864883485369;0,90129467252605;7917,54374208776;0,489938;1,8032630806346e-12;2,572239;1;1;25;5;"SMJYB01_20220408_232202.wav";2022-04-08 23:27:02
1;52,5379704175144;0,983027615420727;0,931529997967077;0,91571971259445;7870,00320946162;0,504758;1,80208024727087e-12;2,542491;1;1;26;1;"SMJYB01_20220408_235202.wav";2022-04-09 00:17:02
1;52,5905621917708;0,983037156281703;0,931795672686999;0,915989768313824;7873,59769611017;0,483;1,8038501750688e-12;2,58331;1;1;26;2;"SMJYB01_20220408_235202.wav";2022-04-09 00:12:02
1;52,4485181327179;0,983027615493473;0,931269208761768;0,915463349671574;7867,76187631711;0,482518;1,80244273379306e-12;2,584139;1;1;26;3;"SMJYB01_20220408_235202.wav";2022-04-09 00:07:02
1;52,5438288048747;0,983018812280959;0,931534817336887;0,915716249736867;7869,31040145753;0,478733;1,80362093590978e-12;2,591202;1;1;26;4;"SMJYB01_20220408_235202.wav";2022-04-09 00:02:02
1;52,5081994208721;0,983036765179793;0,931435686700154;0,915635524426738;7871,89060672199;0,492949;1,80236032857965e-12;2,564473;1;1;26;5;"SMJYB01_20220408_235202.wav";2022-04-08 23:57:02
1;52,5375806145284;0,98301315056329;0,931603473475568;0,915778465536922;7870,09037043142;0,450866;1,80162810564856e-12;2,643751;1;1;27;1;"SMJYB01_20220409_002202.wav";2022-04-09 00:47:02
1;52,4795231328739;0,983008032675574;0,931450896168285;0,915623712976287;7875,0225213764;0,467442;1,8020687724596e-12;2,612138;1;1;27;2;"SMJYB01_20220409_002202.wav";2022-04-09 00:42:02
1;52,4242176585016;0,983027618475635;0,93130955420908;0,915503013137757;7872,90237106566;0,489767;1,80169762499691e-12;2,570586;1;1;27;3;"SMJYB01_20220409_002202.wav";2022-04-09 00:37:02
1;52,5225570928214;0,983047470905921;0,931762786656554;0,915967050906979;7869,1981336236;0,474748;1,80491122940852e-12;2,598613;1;1;27;4;"SMJYB01_20220409_002202.wav";2022-04-09 00:32:02
